Region,Technology,Value
DE,SolarPV,150.0
FR,SolarPV,200.0
NO,SolarPV,25.0
DK,SolarPV,45.0
UK,SolarPV,90.0
DE,CoalMine,-0.0
FR,CoalMine,-0.0
NO,CoalMine,-0.0
DK,CoalMine,-0.0
UK,CoalMine,122.01079039922504
DE,GasExtractor,145.93419354045764
FR,GasExtractor,-0.0
NO,GasExtractor,36.88715226315387
DK,GasExtractor,-0.0
UK,GasExtractor,-0.0
DE,CoalPowerPlant,0.0
FR,CoalPowerPlant,0.0
NO,CoalPowerPlant,-0.0
DK,CoalPowerPlant,0.0
UK,CoalPowerPlant,0.0
DE,GasPowerPlant,0.0
FR,GasPowerPlant,11.932965339999999
NO,GasPowerPlant,8.332285603888888
DK,GasPowerPlant,0.0
UK,GasPowerPlant,-0.0
DE,CoalCHPPlant,-0.0
FR,CoalCHPPlant,38.593333333333334
NO,CoalCHPPlant,-0.0
DK,CoalCHPPlant,-0.0
UK,CoalCHPPlant,83.4174570658917
DE,GasCHPPlant,155.28000000000003
FR,GasCHPPlant,1.4100000000000001
NO,GasCHPPlant,10.273333333333333
DK,GasCHPPlant,24.101666666666667
UK,GasCHPPlant,-0.0
DE,Power2Gas,27.5
FR,Power2Gas,22.267903250664588
NO,Power2Gas,6.211580259999999
DK,Power2Gas,9.166666666666668
UK,Power2Gas,15.303773497214245
DE,H2Car,0.0
FR,H2Car,0.0
NO,H2Car,0.0
DK,H2Car,0.0
UK,H2Car,0.0
DE,BEV,-0.0
FR,BEV,10.375284484716142
NO,BEV,0.0
DK,BEV,0.0
UK,BEV,12.410728853896995
DE,LPGCar,24.492
FR,LPGCar,12.200000000000001
NO,LPGCar,3.3676500000000003
DK,LPGCar,3.6738000000000004
UK,LPGCar,8.184648032511138
DE,WindOnshore,100.0
FR,WindOnshore,130.0
NO,WindOnshore,40.0
DK,WindOnshore,60.0
UK,WindOnshore,140.0
DE,ElectricHeater,20.340000000000003
FR,ElectricHeater,9.366
NO,ElectricHeater,1.5664570909090905
DK,ElectricHeater,13.116000000000001
UK,ElectricHeater,22.163993915151515
